ImageNumber,DICE,,,,,,,,0.1220394949
00012001.jpg,0.3691523077,,,,,,,,0.1942777504
00012002.jpg,0.4357089251,,,,,,,,
00012003.jpg,0.1031473155,,,,,,,,
00012004.jpg,0.2852848101,,,,,,,,
00012005.jpg,0.0701334059,,,,,,,,
00012006.jpg,0,,,,,,,,
00012007.jpg,0,,,,,,,,
00012008.jpg,0,,,,,,,,
00012009.jpg,0,,,,,,,,
00012010.jpg,0.469139924,,,,,,,,
00012011.jpg,0.4775612449,,,,,,,,
00012012.jpg,0.1368639945,,,,,,,,
00012013.jpg,0.4836852207,,,,,,,,
00012014.jpg,0.4694464594,,,,,,,,
00012015.jpg,0,,,,,,,,
00012016.jpg,0.0658145856,,,,,,,,
00012017.jpg,0.4830645417,,,,,,,,
00012018.jpg,0,,,,,,,,
00012019.jpg,0,,,,,,,,
00012020.jpg,0,,,,,,,,
00012021.jpg,0,,,,,,,,
00012022.jpg,0,,,,,,,,
00012023.jpg,0,,,,,,,,
00012024.jpg,0,,,,,,,,
00012025.jpg,0,,,,,,,,
00012026.jpg,0,,,,,,,,
00012027.jpg,0,,,,,,,,
00012028.jpg,0.5442421735,,,,,,,,
00012029.jpg,0,,,,,,,,
00012030.jpg,0,,,,,,,,
00012031.jpg,0,,,,,,,,
00012032.jpg,0,,,,,,,,
00012033.jpg,0,,,,,,,,
00012034.jpg,0,,,,,,,,
00012035.jpg,0,,,,,,,,
00012036.jpg,0,,,,,,,,
00012037.jpg,0,,,,,,,,
00012038.jpg,0.4999112409,,,,,,,,
00012039.jpg,0.2316683364,,,,,,,,
00012040.jpg,0,,,,,,,,
00012041.jpg,0,,,,,,,,
00012042.jpg,0,,,,,,,,
00012043.jpg,0,,,,,,,,
00012044.jpg,0,,,,,,,,
00012045.jpg,0,,,,,,,,
00012046.jpg,0,,,,,,,,
00012047.jpg,0,,,,,,,,
00012048.jpg,0.3304918033,,,,,,,,
00012049.jpg,0,,,,,,,,
00012050.jpg,0,,,,,,,,
00012051.jpg,0,,,,,,,,
00012052.jpg,0,,,,,,,,
00012053.jpg,0,,,,,,,,
00012054.jpg,0,,,,,,,,
00012055.jpg,0,,,,,,,,
00012056.jpg,0,,,,,,,,
00012057.jpg,0,,,,,,,,
00012058.jpg,0.0330751674,,,,,,,,
00012059.jpg,0.0254237288,,,,,,,,
00012060.jpg,0.3252302061,,,,,,,,
00012061.jpg,0.4554744526,,,,,,,,
00012062.jpg,0.4548139398,,,,,,,,
00012063.jpg,0,,,,,,,,
00012064.jpg,0.0412647374,,,,,,,,
00012065.jpg,0.0050434295,,,,,,,,
00012066.jpg,0,,,,,,,,
00012067.jpg,0.2924551063,,,,,,,,
00012068.jpg,0,,,,,,,,
00012069.jpg,0,,,,,,,,
00012070.jpg,0,,,,,,,,
00012071.jpg,0.4176278872,,,,,,,,
00012072.jpg,0.6245547675,,,,,,,,
00012073.jpg,0.44124857,,,,,,,,
00012074.jpg,0.4818557889,,,,,,,,
00012075.jpg,0.4692316032,,,,,,,,
00012076.jpg,0.4727396527,,,,,,,,
00012077.jpg,0,,,,,,,,
00012078.jpg,0,,,,,,,,
00012079.jpg,0,,,,,,,,
00012080.jpg,0,,,,,,,,
00012081.jpg,0,,,,,,,,
00012082.jpg,0,,,,,,,,
00012083.jpg,0,,,,,,,,
00012084.jpg,0,,,,,,,,
00012085.jpg,0,,,,,,,,
00012086.jpg,0,,,,,,,,
00012087.jpg,0,,,,,,,,
00012088.jpg,0,,,,,,,,
00012089.jpg,0,,,,,,,,
00012090.jpg,0,,,,,,,,
00012091.jpg,0,,,,,,,,
00012092.jpg,0,,,,,,,,
00012093.jpg,0,,,,,,,,
00012094.jpg,0,,,,,,,,
00012095.jpg,0,,,,,,,,
00012096.jpg,0,,,,,,,,
00012097.jpg,0,,,,,,,,
00012098.jpg,0,,,,,,,,
00012099.jpg,0.0225712141,,,,,,,,
00012100.jpg,0,,,,,,,,
00012101.jpg,0.4731282398,,,,,,,,
00012102.jpg,0.4555025679,,,,,,,,
00012103.jpg,0.4030526339,,,,,,,,
00012104.jpg,0,,,,,,,,
