filename,width,height,class,xmin,ymin,xmax,ymax
00012001.jpg,720,480,,320,155,570,267
00012001.jpg,720,480,,301,60,336,79
00012002.jpg,720,480,,439,48,608,132
00012002.jpg,720,480,,422,169,717,387
00012003.jpg,720,480,,25,43,88,79
00012003.jpg,720,480,,71,80,215,157
00012004.jpg,720,480,,610,131,647,154
00012004.jpg,720,480,,599,170,654,211
00012004.jpg,720,480,,227,165,294,198
00012004.jpg,720,480,,414,95,457,112
00012004.jpg,720,480,,230,121,266,139
00012005.jpg,720,480,,609,129,646,156
00012005.jpg,720,480,,591,158,636,210
00012007.jpg,342,228,,98,111,250,160
00012007.jpg,342,228,,77,60,163,91
00012010.jpg,720,480,,254,131,408,209
00012011.jpg,720,480,,639,214,715,371
00012012.jpg,720,480,,424,165,468,188
00012012.jpg,720,480,,529,157,577,180
00012012.jpg,720,480,,356,128,388,150
00012012.jpg,720,480,,393,141,421,159
00012013.jpg,720,480,,175,196,307,280
00012014.jpg,720,480,,317,256,519,362
00012015.jpg,720,480,,91,45,126,63
00012015.jpg,720,480,,66,163,294,280
00012016.jpg,720,480,,364,50,416,86
00012016.jpg,720,480,,9,218,196,332
00012016.jpg,720,480,,356,19,393,40
00012017.jpg,720,480,,467,212,704,344
00012028.jpg,720,480,,610,130,647,155
00012028.jpg,720,480,,601,171,655,210
00012028.jpg,720,480,,235,255,419,395
00012029.jpg,720,480,,297,101,443,163
00012038.jpg,720,480,,560,185,713,266
00012038.jpg,720,480,,170,106,306,169
00012039.jpg,720,480,,610,132,645,156
00012039.jpg,720,480,,601,172,657,210
00012039.jpg,720,480,,557,100,581,114
00012039.jpg,720,480,,230,125,272,143
00012048.jpg,720,480,,493,76,531,101
00012048.jpg,720,480,,367,59,410,85
00012058.jpg,342,228,,66,74,199,129
00012058.jpg,342,228,,107,25,134,35
00012058.jpg,342,228,,10,49,33,63
00012058.jpg,342,228,,52,55,195,123
00012059.jpg,342,228,,156,24,183,35
00012059.jpg,342,228,,124,73,223,140
